alpha,mu,x_thresh,sigma_thresh,beta,mean_tau,sigma_tau,birth_noise
1.0,10.0,50.0,1.0,0.3298371178092964,0.6934468952482057,0.1272429574723885,0.20623625094273618
1.0,10.0,50.0,5.0,0.5713245107727122,0.6935224586180285,0.1841699707428969,0.22783249707391434
1.0,10.0,50.0,10.0,0.7887027821577258,0.6934798606339544,0.23158169235147952,0.2833842256651445
1.0,10.0,50.0,50.0,0.6696141445084733,0.6928816776692928,0.3955108647833947,0.5743093030890545
1.0,10.0,100.0,1.0,0.38094505248259247,0.6930756085105649,0.08774833729031097,0.11239920100147037
1.0,10.0,100.0,5.0,0.5387397568615043,0.6930907369549345,0.10719943614660181,0.12117656282546689
1.0,10.0,100.0,10.0,0.7135530992252648,0.6931647875183219,0.1361721929632077,0.149506884705417
1.0,10.0,100.0,50.0,0.8267520674151543,0.6931665360591528,0.2953725136287808,0.4074159898853511
1.0,10.0,500.0,1.0,0.5156120902001448,0.6933179119633442,0.0363330239654012,0.03685727976258342
1.0,10.0,500.0,5.0,0.5526758198085665,0.6934040558213084,0.040758561993841334,0.03837511353770693
1.0,10.0,500.0,10.0,0.628262121894424,0.693325485261923,0.04195458049281688,0.042067966890003486
1.0,10.0,500.0,50.0,0.9384101151641486,0.6933458776203879,0.09755890919689053,0.10555928841782412
1.0,10.0,1000.0,1.0,0.5349609149006868,0.6936074764635519,0.025186240322143966,0.030298701693496546
1.0,10.0,1000.0,5.0,0.5443583674049393,0.6936055233788665,0.030183597176684167,0.030769994407604546
1.0,10.0,1000.0,10.0,0.6464418910771161,0.6936539166373366,0.031080742411559406,0.031978016966441966
1.0,10.0,1000.0,50.0,0.8589338679513027,0.6935894347030688,0.05873668736688702,0.058611448532005034
